variant_name,canonical_name,confidence,source
Martin Côté Martin Graton,Martin Graton,medium,alias
Martin Novy,Martin Nový,high,manual
Martin Prochazka,Martin Procházka,high,manual
Mateusz Zwiazek,Mateusz Związek,high,manual
Matjaz Boric,Matjaž Borič,high,manual
Matthias Schmidt,Matthias Lino Schmidt,medium,alias
Matti Hamalainen,Matti Hämäläinen,high,manual
Matyas Mach,Matyáš Mach,high,manual
Mael LeGall,Maël LeGall,high,manual
Mael Nantes,Maël Nantes,high,manual
Melissa Jo Schneider,Melissa Schneider,medium,alias
Michael Muller,Michael Müller,high,manual
Michal Hadas,Michal Hadaś,high,manual
Michał Klimczak,Michal Klimczak,high,display_name
Michal Minar,Michal Minár,high,manual
Micha Rg,Michal Rog,high,display_name
Michał Róg,Michal Rog,high,display_name
Michal Cerny,Michal Černý,high,manual
Michał Pietrynczak,Michał Pietryńczak,high,manual
Mike Patrick McCarthy,Mike McCarthy,medium,alias
Mike Rex Stoler,Mike Stoler,medium,alias
Mikulas Cap,Mikuláš Čáp,high,manual
Moglum Polak,Moglum Polák,high,manual
Moises Satie Curie,Moises Curie,medium,alias
Marton Varga,Márton Varga,high,manual
Nelson Jimenez,Nelson Jiménez,high,manual
Nikolle Valentina Florez Mora,Nikolle Valentina Flórez Mora,high,manual
Noemie Verdon,Noémie Verdon,high,manual
Olda Platenik,Olda Pláteník,high,manual
Oldøich Platenik,Oldøich Pláteník,high,manual
Olivier B.-Berge,Olivier B.-Bergé,high,manual
Olivier Zitoun Baillon,Olivier Baillon,medium,alias
Olli Karki,Olli Kärki,high,manual
Oledzka Gosia,Olędzka Gosia,high,manual
Oskari Forsten,Oskari Forstén,high,manual
P. T. Lovern,P.T. Lovern,high,alias
Paul Lovern,P.T. Lovern,high,display_name
Paul T. Lovern,P.T. Lovern,high,display_name
PT Lovern,P.T. Lovern,high,display_name
Paloma Mayo,Paloma Pujol Mayo,medium,alias
Patrick Barre,Patrick Barré,high,manual
Patrik Herczik,Patrik Herczík,high,manual
Patrik Smerda,Patrik Šmerda,high,manual
Paul Kronjager,Paul Kronjäger,high,manual
Paula Brzezinska,Paula Brzezińska,high,manual
Pavel Eerveny,Pavel Èervený,high,manual
Paweł Koson,Paweł Kosoń,high,manual
Paweł Ptaszynski,Paweł Ptaszyński,high,manual
Petr Fueik,Petr Fuèík,high,manual
Petr Heralecky,Petr Heralecký,high,manual
Petri Sievanen,Petri Sievänen,high,manual
Petteri Petainen,Petteri Petäinen,high,manual
Philip Schafer,Philip Schäfer,high,manual
Phillipp Schafer,Phillipp Schäfer,high,manual
Pierre-Jacques Daigle,Pierre Jacques Daigle,high,alias
Piia Tantarimaki,Piia Tantarimäki,high,manual
Piotr Kościelny,Piotr Koscielny,high,display_name
Priit Joe,Priit Jõe,high,manual
Radek Łatka,Radek Łątka,high,manual
Rado Carnaj,Rado Čarnaj,high,manual
Rafał Piorkowski,Rafał Piórkowski,high,manual
Ramon Zambrano,Ramón Zambrano,high,manual
Reinaldo Perez,Reinaldo Pérez,high,manual
Renatto Zulli,Renatto Zülli,high,manual
Revo Turk,Revo Türk,high,manual
Richard Chard Cook,Richard Cook,medium,alias
Rippin Rick Reese,Rick Reese,medium,alias
Rico Bohme,Rico Böhme,high,manual
Robert Szymanski,Robert Szymański,high,manual
Robin Pchel,Robin Puchel,high,display_name
Robin Püchel,Robin Puchel,high,display_name
Ronald Anez,Ronald Ańez,high,manual
Ronald Anez Mora,Ronald Ańez Mora,high,manual
Rune Petersen,Rune Lau Petersen,medium,alias
Remy Pouliot,Rémy Pouliot,high,manual
Repasi Csaba,Répási Csaba,high,manual
Rog Michał,Róg Michał,high,manual
Sam Conlon,Samantha Conlon,high,display_name
Scott Enlightener Davidson,Scott Davidson,medium,alias
Sebastian Ceballos Columbia,Sebastian Ceballos,medium,alias
Sébastien Duchesne,Sebastien Duchesne,high,display_name
Silvan Lotscher,Silvan Lötscher,high,manual
Simon-François Kolodenchuk,Simon Kolodenchuk,medium,alias
Simeon Fontaine,Siméon Fontaine,high,manual
Simon Blanco,Simón Blanco,high,manual
Stefan Muller,Stefan Müller,high,manual
Stephane Roy,Stéphane Roy,high,manual
Stephane Tailleur,Stéphane Tailleur,high,manual
Sunil Tsunami Jani,Sunil Jani,medium,alias
Sunny Freeman Genz,Sunny Freeman-Genz,high,alias
Sunny Genz,Sunny Freeman-Genz,medium,alias
Szolosi + Horvath,Szolosi + Horváth,high,manual
Sebasteien Duchesne,Sébasteien Duchesne,high,manual
Sebastien Desgens,Sébastien Desgens,high,manual
Sebastien Lefay,Sébastien Lefay,high,manual
Sebastien Lessard,Sébastien Lessard,high,manual
Sebastien Maillet,Sébastien Maillet,high,manual
Sebastien Prahin,Sébastien Prahin,high,manual
Serifo Desjardins,Sérifo Desjardins,high,manual
Sławek Brzezinski,Sławek Brzeziński,high,manual
TJ Boutorwick,T.J. Boutorwick,medium,alias
Tamas Tilly,Tamás Tilly,high,manual
Tarmo Korotko,Tarmo Korõtko,high,manual
Terka Drbohlavova,Terka Drbohlavová,high,manual
T Fritsch,Theodore Fritsch,high,display_name
Ted Fritsch,Theodore Fritsch,high,display_name
Theodore J Fritsch,Theodore Fritsch,medium,alias
Thomas Forster,Thomas Förster,high,manual
Thomas tomtom Jouan,Thomas Jouan,medium,alias
Thomas Koneeny,Thomas Koneèný,high,manual
Thorsten Kunzel,Thorsten Künzel,high,manual
Thorsten Schafer,Thorsten Schäfer,high,manual
Thorsten Sulbeck,Thorsten Sülbeck,high,manual
Theo Batiste,Théo Batiste,high,manual
Tim Daniel Livson,Tim Livson,medium,alias
Timothee Lerolle,Timothée Lerolle,high,manual
Tobias Wohrer,Tobias Wöhrer,high,manual
Tomasz Wrobel,Tomasz Wróbel,high,manual
Tommi Tera,Tommi Terä,high,manual
Tompos Zoltan,Tompos Zoltán,high,manual
Toma olc,Tomá olc,high,manual
Tomas Danik,Tomás Danìk,high,manual
Tomas Mirovsky,Tomáš Mirovský,high,manual
Toni Paakkonen,Toni Pääkkönen,high,bap
Torsten Kunzel,Torsten Künzel,high,manual
Tuan DiscoNinja Vu,Tuan Vu,medium,alias
Tuomas Kärki,Tuomas Karki,high,display_name
Ulrike Haßler,Ulrike Häßler,high,manual
Unai Perez,Unai Pérez,high,manual
Valtteri Ahlstrom,Valtteri Ahlström,high,manual
Vasek Klouda,Vašek Klouda,high,display_name
Vesa Hytonen,Vesa Hytönen,high,manual
Viktor Kratochvil,Viktor Kratochvíl,high,manual
V Bradley,Vincent Bradley,high,display_name
Vince Bradley,Vincent Bradley,high,display_name
Vojtich Kruta,Vojtìch Krùta,high,manual
Vaska Kouda,Váška Kouda,high,manual
Wilder Gonzalez,Wilder González,high,manual
Yneliz Garcia,Yneliz García,high,manual
Abel Farkas,Ábel Farkas,high,manual
Alvaro Garcia,Álvaro García,high,manual
Alvaro Zamora,Álvaro Zamora,high,manual
Emilien Gendron,Émilien Gendron,high,manual
Eric Cote,Éric Côté,high,manual
