event_key,discipline_key,placement,original_display,corrected_player_a,corrected_player_b,correction_type,source_note,active,verification_level,verified_by,confidence
2003_worlds_prague,intermediate_doubles_net,16,,Grega Morel,Dolinar,MISSING_PARTNER,Mirror source: Morel/Dolinar — Morel resolved from PT,1,source_verified,,MEDIUM
2003_worlds_prague,intermediate_doubles_net,17,,Antek Szczeniowski,Damian Budzik,MISSING_PARTNER,Mirror source: Sceniowski/Budzik — resolved from PT,1,source_verified,,HIGH
2003_worlds_prague,intermediate_doubles_net,18,,Schmidt,Yves Kreil,MISSING_PARTNER,Mirror source: Schmidt/Kreil — Kreil resolved from PT,1,source_verified,,MEDIUM
2003_worlds_prague,intermediate_doubles_net,19,,Fabien Riffaud,Marc Brunet,MISSING_PARTNER,Mirror source: Riffaud/Brunet — 4x co-occurrence,1,source_verified,,HIGH
2003_worlds_prague,intermediate_doubles_net,20,,Eric Dargent,Jono Heyes,MISSING_PARTNER,Mirror source: Dargent/Heyes — resolved from PT,1,source_verified,,HIGH
2003_worlds_prague,intermediate_doubles_net,21,,Jules Meneboo,Lamps,MISSING_PARTNER,Mirror source: Meneboo/Lamps — Meneboo resolved from PT,1,source_verified,,MEDIUM
2003_worlds_prague,intermediate_doubles_net,22,,Schlapfer,Christian Dubuis,MISSING_PARTNER,Mirror source: Schlapfer/Dubuis — Dubuis resolved from PT,1,source_verified,,MEDIUM
2003_worlds_prague,intermediate_doubles_net,23,,Zdnidarsic,Majerhold,MISSING_PARTNER,Mirror source: last names only from Slovenian players,1,source_verified,,MEDIUM
2003_worlds_prague,intermediate_doubles_net,24,,Fred Touzelet,Arnaud Donnat,MISSING_PARTNER,Mirror source: Touzelet/Donnat — resolved from PT,1,source_verified,,HIGH
2003_worlds_prague,intermediate_doubles_net,25,,Hanz Freller,Baker,MISSING_PARTNER,Mirror source: Freller/Baker — Freller resolved from PT,1,source_verified,,MEDIUM
1998_vancouver,advanced_doubles_net,1,,Paul Constantin,Scott Heffernan,MISSING_PARTNER,Mirror source: Paul Constantin (AB) Scott Heffernan (AB),1,source_verified,,HIGH
1998_vancouver,advanced_doubles_net,2,,Tara Wolczuk,Omaha,MISSING_PARTNER,Mirror source: Tara Wolczuk (BC) Omaha (BC) — Omaha is person name/nickname,1,source_verified,,HIGH
1998_vancouver,advanced_doubles_net,3,,François Leh,Kevin Jenkins,MISSING_PARTNER,Mirror source: Francois Leh (BC) Kevin Jenkins (BC),1,source_verified,,HIGH
