section,subsection,sort_order,category,division,year,rank,person_or_team,partner,score,note,event_date,event_name,location,source_ref
World Record Progression,Women's Doubles Consecutive,1002,Consecutive Kicks,Women's Doubles,1985.0,,Jodi Chandler,Marie Elsner,8438.0,,,,,fb-milestones.txt
World Record Progression,Women's Doubles Consecutive,1003,Consecutive Kicks,Women's Doubles,1986.0,,Constance Constable,Marie Elsner,21025.0,Intentionally ended on that number,,,,fb-milestones.txt
World Record Progression,Women's Doubles Consecutive,1004,Consecutive Kicks,Women's Doubles,1995.0,,Constance Constable,Tricia George,34543.0,Intentionally ended on that number,,,,fb-milestones.txt
World Record Progression,Open Doubles One-Pass,1101,Consecutive Kicks,Open Doubles One-Pass,1984.0,,Jim Caveney,Gary Lautt,1665.0,,,,,fb-milestones.txt
World Record Progression,Open Doubles One-Pass,1102,Consecutive Kicks,Open Doubles One-Pass,1985.0,,Jim Caveney,Bruce Guettich,3747.0,,,,,fb-milestones.txt
World Record Progression,Open Doubles One-Pass,1103,Consecutive Kicks,Open Doubles One-Pass,1987.0,,Bill Langbehn,Brent Welch,10454.0,,,,,fb-milestones.txt
World Record Progression,Open Doubles One-Pass,1104,Consecutive Kicks,Open Doubles One-Pass,1991.0,,Ted Martin,Andy Linder,13208.0,,,,,fb-milestones.txt
World Record Progression,Open Doubles One-Pass,1105,Consecutive Kicks,Open Doubles One-Pass,1991.0,,Ted Martin,Andy Linder,22000.0,,,,,fb-milestones.txt
World Record Progression,Open Doubles One-Pass,1106,Consecutive Kicks,Open Doubles One-Pass,1993.0,,Ted Martin,Andy Linder,27956.0,,,,,fb-milestones.txt
World Record Progression,Women's Doubles One-Pass,1201,Consecutive Kicks,Women's Doubles One-Pass,1985.0,,Constance Constable,Tricia George,722.0,,,,,fb-milestones.txt
World Record Progression,Women's Doubles One-Pass,1202,Consecutive Kicks,Women's Doubles One-Pass,1987.0,,Constance Constable,Tricia George,6136.0,,,,,fb-milestones.txt
Milestone Firsts,Singles milestone first,1301,Consecutive Kicks,Open Singles,,,John Stalberger,,1000.0,,,,,fb-milestones.txt
Milestone Firsts,Singles milestone first,1302,Consecutive Kicks,Open Singles,,,Jack Schoolcraft,,2500.0,,,,,fb-milestones.txt
Milestone Firsts,Singles milestone first,1303,Consecutive Kicks,Open Singles,,,Ken Shults,,5000.0,,,,,fb-milestones.txt
Milestone Firsts,Singles milestone first,1304,Consecutive Kicks,Open Singles,,,Ken Shults,,10000.0,,,,,fb-milestones.txt
Milestone Firsts,Singles milestone first,1305,Consecutive Kicks,Open Singles,,,Andy Linder,,20000.0,,,,,fb-milestones.txt
Milestone Firsts,Singles milestone first,1306,Consecutive Kicks,Open Singles,,,Andy Linder,,30000.0,,,,,fb-milestones.txt
Milestone Firsts,Singles milestone first,1307,Consecutive Kicks,Open Singles,,,Ted Martin,,40000.0,,,,,fb-milestones.txt
Milestone Firsts,Singles milestone first,1308,Consecutive Kicks,Open Singles,,,Ted Martin,,50000.0,,,,,fb-milestones.txt
Milestone Firsts,Singles milestone first,1309,Consecutive Kicks,Open Singles,,,Ted Martin,,60000.0,,,,,fb-milestones.txt
Milestone Firsts,Singles milestone first,1310,Consecutive Kicks,Women's Singles,,,Tricia George,,,"Tricia George was the first woman to reach each singles milestone through 20,000",,,,fb-milestones.txt
Milestone Firsts,Timed singles milestone first,1311,Consecutive Kicks,Open Singles Timed,,,Derrick Fogle,,750.0,,,,,fb-milestones.txt
Milestone Firsts,Timed singles milestone first,1312,Consecutive Kicks,Open Singles Timed,,,Gary Lautt,,800.0,,,,,fb-milestones.txt
Milestone Firsts,Timed singles milestone first,1313,Consecutive Kicks,Open Singles Timed,,,Ken Shults,,900.0,,,,,fb-milestones.txt
Milestone Firsts,Timed singles milestone first,1314,Consecutive Kicks,Open Singles Timed,,,Andy Linder,,1000.0,,,,,fb-milestones.txt
Milestone Firsts,Timed singles milestone first,1315,Consecutive Kicks,Women's Singles Timed,,,Sam Conlon,,700.0,,,,,fb-milestones.txt
Milestone Firsts,Timed singles milestone first,1316,Consecutive Kicks,Women's Singles Timed,,,Tricia George,,750.0,,,,,fb-milestones.txt
Milestone Firsts,Timed singles milestone first,1317,Consecutive Kicks,Women's Singles Timed,,,Ida Fogle,,800.0,,,,,fb-milestones.txt
Milestone Firsts,Doubles milestone first,1318,Consecutive Kicks,Open Doubles,,,Jim Caveney,Gary Lautt,25000.0,,,,,fb-milestones.txt
Milestone Firsts,Doubles milestone first,1319,Consecutive Kicks,Open Doubles,,,Ted Martin,Andy Linder,50000.0,,,,,fb-milestones.txt
Milestone Firsts,Doubles milestone first,1320,Consecutive Kicks,Open Doubles,,,Jim Caveney,Gary Lautt,75000.0,,,,,fb-milestones.txt
Milestone Firsts,Doubles milestone first,1321,Consecutive Kicks,Open Doubles,,,Ted Martin,Andy Linder,100000.0,,,,,fb-milestones.txt
Milestone Firsts,Doubles milestone first,1322,Consecutive Kicks,Women's Doubles,,,Constance Constable,Marie Elsner,20000.0,,,,,fb-milestones.txt
Milestone Firsts,Doubles milestone first,1323,Consecutive Kicks,Women's Doubles,,,Constance Constable,Tricia George,30000.0,,,,,fb-milestones.txt
