alias,person_id,person_canon,status,notes
Anne Miller Greg Durrett,20e4a023-1bb9-5d19-a6dc-73da6eb30a8d,Anne Miller,verified,quarantine_split:redirect_from_concat
Anne Schmidt,1ce47efc-9d7a-594c-b5d9-d17c7dc26dce,Anne Schmidt,verified,
Anne Thygesen,01646a6e-5cb3-5013-b014-92e981409a4b,Anne Thygesen,verified,
Anneleissa Coen,008f279b-0172-5793-868e-70f7b4c45ac7,Anneleissa Cohen,verified,
Anneleissa Coen,008f279b-0172-5793-868e-70f7b4c45ac7,Anneleissa Cohen,verified,
Anneleissa Cohen,008f279b-0172-5793-868e-70f7b4c45ac7,Anneleissa Cohen,verified,
Annelessia Coen,008f279b-0172-5793-868e-70f7b4c45ac7,Anneleissa Cohen,verified,
Anssi Sundberg,00d8d056-e8a7-5229-97bf-e0cb3b881cd8,Anssi Sundberg,verified,
Antek Szczeniowski,b046ab19-f057-53dd-a850-18c4248086ff,Antek Szczeniowski,verified,
Anthony Aintno Inteman,71ae4086-3d7f-5fdb-812b-778eda4da0cf,Anthony Intemann,verified,
Anthony Arnaud,07b2ad01-ccb8-5acf-ac37-d8a7261e5a73,Anthony Arnaud,verified,quarantine_split:existing_person
Anthony Arnaud Sven Depoilly,07b2ad01-ccb8-5acf-ac37-d8a7261e5a73,Anthony Arnaud,verified,quarantine_split:redirect_from_concat
Anthony Intemann,71ae4086-3d7f-5fdb-812b-778eda4da0cf,Anthony Intemann,verified,
Anthony Intermann,71ae4086-3d7f-5fdb-812b-778eda4da0cf,Anthony Intemann,verified,
Anthony Mehok,d2e6589e-1f6c-538d-8426-a2747597fe2f,Tony Mehok,verified,merged identity — confirmed same person via footbag.org member ID
Anthony Ritz,f861dfae-a8c1-5b93-9f5e-c82a3b7c76bf,Anthony Tony Ritz,verified,
Anthony Ritz,f861dfae-a8c1-5b93-9f5e-c82a3b7c76bf,Anthony Tony Ritz,verified,
Anthony Tony Ritz,f861dfae-a8c1-5b93-9f5e-c82a3b7c76bf,Anthony Tony Ritz,verified,
Anthony Vivas,f1fc2658-161b-53b1-bdc4-b9d88847819e,Anthony Vivas Barrera,verified,redirected:38f7ad36-5d4f-57e6-8eb4-0eca0bfee47a->f1fc2658
Anthony Vivas Barrera,f1fc2658-161b-53b1-bdc4-b9d88847819e,Anthony Vivas Barrera,verified,
Antoine Desrochers,a6723fe0-45bd-576e-983d-783ce27035b9,Antoine Desrochers Godin,verified,
Antoine Desrochers,a6723fe0-45bd-576e-983d-783ce27035b9,Antoine Desrochers Godin,verified,
Antoine Desrochers Godin,a6723fe0-45bd-576e-983d-783ce27035b9,Antoine Desrochers Godin,verified,
Antoine Desrochers Godin,a6723fe0-45bd-576e-983d-783ce27035b9,Antoine Desrochers Godin,verified,
Antoine Desrochers-Godin,a6723fe0-45bd-576e-983d-783ce27035b9,Antoine Desrochers Godin,verified,
Anton Britting,5153f93f-1e75-5497-82c6-bf804faf6476,Anton Britting,verified,
Antoni Szczeniowski,a641144e-cf11-5c59-af79-bd273b52f495,Antoni Szczeniowski,verified,
Antonio Fritch,34055beb-ed72-59a5-9b38-c5ffbac4d70e,Antonio Fritsch,verified,redirected:7f7aa729-3dd8-5c42-965a-6bca7d017ad1->34055beb
Antonio Fritcsh,34055beb-ed72-59a5-9b38-c5ffbac4d70e,Antonio Fritsch,verified,redirected:7f7aa729-3dd8-5c42-965a-6bca7d017ad1->34055beb
Antonio Fritsch,34055beb-ed72-59a5-9b38-c5ffbac4d70e,Antonio Fritsch,verified,
Antonio Linero,da631353-0d65-5a29-9572-37f115385c15,Antonio Linero Castro,verified,
Antonio Linero Castro,da631353-0d65-5a29-9572-37f115385c15,Antonio Linero Castro,verified,
Antonio Linero Castro,da631353-0d65-5a29-9572-37f115385c15,Antonio Linero Castro,verified,
Antony Arnaud,f5204064-f32c-562e-9cfe-9820060fc8e3,Antony Arnaud,verified,
Antti Lehikoinen,eeaf3114-ed2a-5933-988e-535e9f5c70dc,Antti Lehikoinen,verified,
Antti Lehtovirta,80396562-c2a1-5de8-81ea-cb22f17f884a,Antti Lehtovirta,verified,
Arek Dudzi?ski,cbe4d2b2-48cf-5a8c-98d5-57eb65cf60a6,Arek Dudzi?ski,verified,
Arek Hutnik,6640fdb5-ce0a-551f-ac7e-b5673e17e9a5,Arek Hutnik,verified,
Aric McIntosh,a9cb54c3-9f91-563a-a953-4de8dda05ffe,Aric McIntosh,verified,
Ariel Santesteban,63846eb8-93a6-5795-a5bb-a9538ef3f1ee,Ariel Santetesteban,verified,
Ariel Santesteban,63846eb8-93a6-5795-a5bb-a9538ef3f1ee,Ariel Santetesteban,verified,
Ariel Santesteban -,63846eb8-93a6-5795-a5bb-a9538ef3f1ee,Ariel Santetesteban,verified,
Ariel Santetesteban,63846eb8-93a6-5795-a5bb-a9538ef3f1ee,Ariel Santetesteban,verified,
Arkadiusz Dudzinski,6513b145-8a4a-556a-a04f-981d95db2d70,Arkadiusz Dudzinski,verified,
Arkadiusz Dudziñski,6513b145-8a4a-556a-a04f-981d95db2d70,Arkadiusz Dudzinski,verified,
Arkadiusz Dudziński,6513b145-8a4a-556a-a04f-981d95db2d70,Arkadiusz Dudzinski,verified,
Arkadiusz Stanek,8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,verified,
Arkady kemp Lobankov,80696601-2e8f-54d7-8573-0e0d015bd5a9,Arkady kemp Lobankov,verified,
Arkady Kemp Lobankov,80696601-2e8f-54d7-8573-0e0d015bd5a9,Arkady kemp Lobankov,verified,
