event_key,legacy_event_id,year,event_name,event_slug,start_date,end_date,city,region,country,host_club,event_type,status,notes,source
2005_footbagjam_zurich,1105087209,2005,IFPA Swiss Footbag Open 2005: FootJam05,ifpa_swiss_footbag_open_2005_footjam05,2005-05-14,2005-05-16,Zurich,,Switzerland,Sole Rebels Zürich,mixed,completed,,mirror
2005_polish,1126086921,2005,Polish Footbag Championships 2005,polish_footbag_championships_2005,2005-10-14,2005-10-15,Szczecin,West Pomeranian,Poland,ToMiStyKa Footbag Club,mixed,completed,,mirror
2005_rnh_contest,1103724325,2005,RNH Contest 2005,rnh_contest_2005,2005-02-26,2005-02-27,Paris,Île-de-France,France,Rien N'est Hacky - RNH Footbag,mixed,completed,,mirror
2005_shercle_session_2,1109682847,2005,Shercle Session #2,shercle_session_2,2005-04-16,2005-04-16,Tallinn,Harju County,Estonia,Tallinn Footbag Club,freestyle,completed,,mirror
2005_swiss,1097686137,2005,Swiss Championships 2005,swiss_championships_2005,2005-04-09,2005-04-10,Fribourg,,Switzerland,,mixed,completed,,mirror
2005_tennessee,1125004188,2005,Tennessee Net Championships,tennessee_net_championships,2005-09-03,2005-09-04,Murfreesboro,Tennessee,United States,Nashville Kicks,net,completed,,mirror
2005_montreal,1107290435,2005,The 2005 Montreal International Footbag Championships,the_2005_montreal_international_footbag_championships,2005-07-08,2005-07-10,Montreal,Quebec,Canada,Association Québécoise de Footbag,net,completed,,mirror
2005_green_chaos,1102227996,2005,The Green Cup Presented by Chaos,the_green_cup_presented_by_chaos,2005-05-28,2005-05-30,Oakland,California,United States,Chaos Footbag Club,net,completed,,mirror
2005_hackrifice,1124840254,2005,The Hackrifice Open 2005,the_hackrifice_open_2005,2005-09-03,2005-09-04,Winnipeg,Manitoba,Canada,Hackrifice,freestyle,completed,,mirror
2005_windchill,1107289556,2005,The Windchill Footbag net tournament,the_windchill_footbag_net_tournament,2005-03-05,2005-03-05,Montreal,Quebec,Canada,Association Québécoise de Footbag,net,completed,,mirror
2005_zocha,1127155729,2005,Zocha Jam 2005,zocha_jam_2005,2005-11-26,2005-11-27,Wrocław,Lower Silesian,Poland,PSF Polish Footbag Association,mixed,completed,,mirror
2006_kc_memorial,1153345992,2006,"""KC"" Memorial Footbag Tournament",kc_memorial_footbag_tournament,2006-09-09,2006-09-09,Memphis,Tennessee,United States,Memphis Footworks,net,completed,,mirror
2006_north_alabama_competition,1146356760,2006,1st Annual North Alabama Footbag Competition,1st_annual_north_alabama_footbag_competition,2006-07-22,2006-07-22,Athens,Alabama,United States,,mixed,completed,,mirror
2006_australian,1121753561,2006,2006 Australian Footbag Championships,2006_australian_footbag_championships,2006-01-13,2006-01-15,Melbourne,Victoria,Australia,,freestyle,completed,,mirror
2006_green_chaos,1131659634,2006,2006 Green Cup Presented by Chaos,2006_green_cup_presented_by_chaos,2006-05-27,2006-05-29,Oakland,California,United States,Chaos Footbag Club,net,completed,,mirror
2006_jersey_spike_shred,1143172220,2006,2006 Jersey Spike & Shred,2006_jersey_spike_shred,2006-05-27,2006-05-29,Somerville,New Jersey,United States,Ministry of Silly Walks,mixed,completed,,mirror
2006_southeast,1155788760,2006,2006 Southeast Regionals,2006_southeast_regionals,2006-10-14,2006-10-15,Murfreesboro,Tennessee,United States,Nashville Kicks,mixed,completed,,mirror
2006_steel_city_shred,1148241486,2006,2006 Steel City Shred Off,2006_steel_city_shred_off,2006-06-24,2006-06-25,Pittsburgh,Pennsylvania,United States,Steel City Freestyle,freestyle,completed,,mirror
2006_worlds_frankfurt,1135116604,2006,27th IFPA WORLD FOOTBAG CHAMPIONSHIPS,27th_ifpa_world_footbag_championships,2006-07-16,2006-07-22,Frankfurt,Hesse,Germany,SG Frankfurt Footbag e.V.,worlds,completed,,mirror
2006_jfk,1142360459,2006,3rd Annual JFK Net Battle,3rd_annual_jfk_net_battle,2006-05-19,2006-05-20,Jyväskylä,Central Finland,Finland,"Jyväskylän Footbag-klubi, JFK",net,completed,,mirror
2006_colorado_shred_symposium,1137347261,2006,7th Annual Colorado Shred Symposium,7th_annual_colorado_shred_symposium,2006-02-24,2006-02-26,Denver,Colorado,United States,,freestyle,completed,,mirror
2006_turku,1141576257,2006,7th Annual Turku Open,7th_annual_turku_open,2006-07-01,2006-07-02,Turku,Southwest Finland,Finland,Footcraft,net,completed,,mirror
2006_de_france_de,1149763452,2006,8e OPEN de France de Footbag,8e_open_de_france_de_footbag,2006-11-10,2006-11-12,Paris,Île-de-France,France,Rien N'est Hacky - RNH Footbag,mixed,completed,,mirror
2006_eurochamp_lausanne,1137942486,2006,8th Annual IFPA European Footbag Championships,8th_annual_ifpa_european_footbag_championships,2006-06-02,2006-06-04,Lausanne,Vaud,Switzerland,Les Pieds à Gilles,mixed,completed,,mirror
2006_championnats_de_france,1148374547,2006,Championnats de France 2006,championnats_de_france_2006,2006-07-01,2006-07-02,Carnon-Plage,Occitanie,France,Icarus Footbag,mixed,completed,,mirror
2006_commalamaison_contest_3,1160579826,2006,CommALaMaison Contest 3,commalamaison_contest_3,2006-10-21,2006-10-22,Paris,Île-de-France,France,Rien N'est Hacky - RNH Footbag,net,completed,,mirror
2006_commalamaison_contest_2,1143027870,2006,Commalamaison Contest 2,commalamaison_contest_2,2006-03-25,2006-03-25,Paris,Île-de-France,France,Rien N'est Hacky - RNH Footbag,net,completed,,mirror
2006_footbagjam,1161888703,2006,Cornell Footbag Jam,cornell_footbag_jam,2006-11-10,2006-11-12,Ithaca,New York,United States,,freestyle,completed,,mirror
2006_czech,1137937282,2006,Czech Footbag Championships,czech_footbag_championships,2006-08-26,2006-08-27,Litoměřice,Ústí nad Labem,Czech Republic,Footbag Litomerice,mixed,completed,,mirror
2006_danish,1157398732,2006,Danish Footbag Championships 2006,danish_footbag_championships_2006,2006-09-30,2006-10-01,Copenhagen,Capital Region,Denmark,FootbagDenmark,freestyle,completed,,mirror
2006_eastregion,1146789209,2006,East Coast Footbag Championships 2006,east_coast_footbag_championships_2006,2006-06-10,2006-06-11,College Park,Maryland,United States,D.C. All-Stars,mixed,completed,,mirror
2006_finnish,1161871029,2006,Finnish Footbag Championships 2006,finnish_footbag_championships_2006,2006-12-08,2006-12-10,Naantali,Southwest Finland,Finland,Footcraft,freestyle,completed,,mirror
2006_funtastik_summer,1149881200,2006,Funtastik Summer Classic Tournament and Festival,funtastik_summer_classic_tournament_and_festival,2006-09-02,2006-09-04,Harrisburg,Pennsylvania,United States,,mixed,completed,,mirror
2006_german,1161167528,2006,German Footbag Championships 2006,german_footbag_championships_2006,2006-12-16,2006-12-17,Berlin,,Germany,FC Footstar Berlin e.V.,mixed,completed,,mirror
2006_hack_ski_sack,1143195910,2006,Hack Ski Sack,hack_ski_sack,2006-04-01,2006-04-08,Chambéry,Auvergne-Rhône-Alpes,France,Rien N'est Hacky - RNH Footbag,net,completed,,mirror
2006_springjam,1146843672,2006,Montreal Spring Jam,montreal_spring_jam,2006-06-03,2006-06-04,Montreal,Quebec,Canada,,freestyle,completed,,mirror
2006_beaver_open,1163624128,2006,Moonin' & Noonin' Beaver Open Post Turkey Day Blues Footbag Golf!,moonin_noonin_beaver_open_post_turkey_day_blues_footbag_golf,2006-11-25,2006-11-25,West Linn,Oregon,United States,NPR,golf,completed,,mirror
2006_new_years,1157942368,2006,New Year's Jam 2006,new_years_jam_2006,2006-12-28,2006-12-30,Chicago,Illinois,United States,MIDWEST FOOTBAG ASSOCIATION,freestyle,completed,,mirror
2006_rnh_contest,1134914723,2006,RNH Contest 2006,rnh_contest_2006,2006-02-04,2006-02-05,Paris,Île-de-France,France,Rien N'est Hacky - RNH Footbag,mixed,completed,,mirror
2006_santa_cruz_invitational,1138601883,2006,Santa Cruz Invitational,santa_cruz_invitational,2006-06-10,2006-06-11,Santa Cruz,California,United States,Santa Cruz Footbag Club,freestyle,completed,,mirror
2006_southeastern_4_square,1164034575,2006,Southeastern 4-Square Championship,southeastern_4_square_championship,2006-12-02,2006-12-02,Chattanooga,Tennessee,United States,River City Footbag,social,completed,,mirror
2006_swedish,1139778550,2006,Swedish Open Footbag Net,swedish_open_footbag_net,2006-06-17,2006-06-18,Stockholm,Stockholm County,Sweden,Mañana Footbag Club,net,completed,,mirror
2006_hackrifice,1156283186,2006,The Hackrifice Open 2006,the_hackrifice_open_2006,2006-09-30,2006-10-01,Winnipeg,Manitoba,Canada,Hackrifice,mixed,completed,,mirror
2006_u_s,1143155263,2006,U. S. Open Footbag Championships,u_s_open_footbag_championships,2006-08-11,2006-08-13,Portland,Oregon,United States,Sole Purpose,mixed,completed,,mirror
2006_valentines_day_massacre,1133888413,2006,Valentines Day Massacre,valentines_day_massacre,2006-02-18,2006-02-18,Murfreesboro,Tennessee,United States,Nashville Kicks,mixed,completed,,mirror
2006_zocha,1158263300,2006,Zocha Jam 2006,zocha_jam_2006,2006-12-02,2006-12-03,Wrocław,Lower Silesian,Poland,PSF Polish Footbag Association,mixed,completed,,mirror
2007_07_southeastern,1167422711,2007,'07 Southeastern Net Championships,07_southeastern_net_championships,2007-04-14,2007-04-15,Memphis,Tennessee,United States,Memphis Footworks,net,completed,,mirror
2007_nyfa_symposium,1190256479,2007,1st Annual NYFA Freestyle Symposium,1st_annual_nyfa_freestyle_symposium,2007-11-10,2007-11-11,New York,,United States,New York Footbag Association,freestyle,completed,,mirror
2007_south_american,1183654670,2007,1st South American IFPA Footbag Championships,1st_south_american_ifpa_footbag_championships,2007-10-12,2007-10-15,Medellín,Antioquia,Colombia,Footbag Medellin,freestyle,completed,,mirror
2007_worlds_buena_vista,1163784775,2007,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,2007_ifpa_world_footbag_championships,2007-08-11,2007-08-18,Buena Vista,Florida,United States,,worlds,completed,,mirror
2007_montreal,1179874637,2007,2007 Montreal Footbag Championships,2007_montreal_footbag_championships,2007-07-21,2007-07-22,Montreal,Quebec,Canada,Association Québécoise de Footbag,net,completed,,mirror
2007_usopen_portland,1176318174,2007,2007 U.S. Open Footbag Championships,2007_u_s_open_footbag_championships,2007-07-06,2007-07-08,Portland,Oregon,United States,Sole Purpose,mixed,completed,,mirror
2007_vancouver,1180496320,2007,20th Annual Vancouver Open Net Footbag Tournament,20th_annual_vancouver_open_net_footbag_tournament,2007-07-28,2007-07-29,Vancouver,British Columbia,Canada,Kitsilano Footbag Association,net,completed,,mirror
2007_shred_idaho,1189535136,2007,3rd Annual Shred Idaho Jam,3rd_annual_shred_idaho_jam,2007-09-14,2007-09-16,Boise,Idaho,United States,Northwest Footbag Alliance,freestyle,completed,,mirror
2007_new_jersey_spike,1176650845,2007,3rd New Jersey Spike and Shred,3rd_new_jersey_spike_and_shred,2007-05-12,2007-05-13,Budd Lake,New Jersey,United States,,mixed,completed,,mirror
