effective_person_id,person_canon,player_ids_seen,player_names_seen,aliases,alias_statuses,notes,source,person_canon_clean,person_canon_clean_reason,aliases_presentable,exclusion_reason,last_token,norm_key,legacyid
658a5146-c0da-5c84-8b5e-cd17b5ab1e90,Philipp Niersteiner,c84c4f26-600d-50ef-bebd-93541d6a8819 | 9685fabd-4677-5ac3-882e-52f664e21c1a | a4bfa073-9dc6-5ddd-b378-1be05c82c945 | 32182082-4f64-5b88-862d-5dd931ff60cf,Philipp Niersteiner | Philipp Nierstheimer | Phillip Nierstheimer,Philipp Nierstheimer | Phillip Nierstheimer,,merged from Philipp Nierstheimer (05879ebc) | merged from Phillip Nierstheimer (774f407b),overrides+data,Philipp Niersteiner,,,,niersteiner,,
4184f9cc-a307-5b20-8676-670e751d7654,Philippe Larose,1b8f14d5-7d1c-50fb-8d08-766ce6baec35 | e711f648-cde0-5836-ba7d-fbdf87bab1fa,Philippe Larose,,,,overrides+data,Philippe Larose,,,,larose,,
bb54353a-b594-5be7-bf5f-be17c40dfa62,Phillip Koncsek,fb2658fe-75b1-573e-bce7-0ce604f9ab99,Phillip Koncsek,,,,overrides+data,Phillip Koncsek,,,,koncsek,,
87216aed-3048-50f7-8c54-d7e9e7bb52f3,Philippe Lessard,2c1fcf69-f110-520f-9a76-e79731b10ff6 | 3f366131-b803-52ee-8803-57b3c333f8e8 | 57961e1c-bf58-5f90-808c-c9065e00d64e | 68da7909-ace1-5865-bfd2-05dfb80156e7 | 997e9de5-2ef0-56ff-8bc1-f560e7f7e7a7 | a0c908b6-b9a0-58f4-83f5-7b869cb2e6a1 | bd357420-41f8-55e9-ac49-20fe610ba8c0 | ca11d96b-bff0-5d8f-9f79-766f3c1d195d | da191f98-41eb-51e2-8703-d9e40f315edd,Phillip Lessard,,,,overrides+data,Phillip Lessard,,Philippe Lessard,,lessard,lessard,13393.0
607c82c8-ec83-5c8d-930b-42fc4abb3f34,Phillip Norrod,1a2b3d5a-b013-5d47-a4cb-83304a45f096 | 839b45e1-5903-532d-9383-6e1d402038e4,Phillip Norrod,,,,overrides+data,Phillip Norrod,,,,norrod,,
1ef51b9d-a795-592e-8d0c-46184f784bf4,Phillip Schaefer,0604b8d4-0cc8-57d3-908d-f617dacf62d0 | 082e5140-6ffc-5863-8353-c21bab749152 | 27a3621e-fd2e-591e-8809-c9bca388113f | 2bccb8a8-b53b-5fe6-94e4-2b5d4bd37c3c | 344929e3-4ab8-5468-9afb-70015d7833df | 4167e045-b517-5632-89f8-021ac63c4d02 | 819f597d-5ac8-54fe-a246-8097a3cba431 | c26cc4ad-a86d-5e5c-b9e7-b90eafc53525 | c70272fe-27b4-53c6-b228-f3bf6ecd80d0 | d781a750-e87e-5a38-ba8a-7d1fcc01fe6f | ee2c52c0-7317-592e-b706-603dfc234fd7,Phillip Schaefer,,,,overrides+data,Phillip Schaefer,,Phil Schaefer | Phil Schäfer | Phil Shaefer | Philipp Schaefer | philipp schaefer | Philipp Schäfer | Phillip Schäfer | Phillip Sch�fer,,schaefer,,12248.0
1ea81ef1-c711-57f5-aa64-0cb1807a810c,Philliph Valencia,c1014528-d2d1-51de-a74d-0a02eafb742b,Philliph Valencia,,,,overrides+data,Philliph Valencia,,,,valencia,,84206.0
b8094062-435d-5140-ae69-045431f6be23,Phillipp Schäfer,a362bba5-a6c2-53b8-81d1-633d4a3b7f47,Phillipp Schäfer,,,,overrides+data,Phillipp Schäfer,,,,schäfer,,
d98d2f56-ed5d-5402-899f-160f0f4cb74d,Phine Schwingbock,e3621ae8-b1e1-5d0b-86ef-6cd15807729b,Phine Schwingbock,,,,overrides+data,Phine Schwingbock,,,,schwingbock,,
47d5bbdb-0fd7-5c80-8ace-118ef3d16fa8,Pierre Bardeau,5a06e070-c4b4-59ef-92fd-dc1c57dba7ba | 66e5dcdf-a9a4-5c55-92f2-9a0c61109adf | 688c1eb5-2ea4-5922-a8a9-f05fb3c925e3 | 8c82f8bf-d4c7-5a13-978f-2612c045bdf1 | e933244e-7804-55cd-a8f4-f98804b1aefd,Pierre Bardeau,,,,overrides+data,Pierre Bardeau,,,,bardeau,,
5368f8e4-70d6-5f54-95be-e63bc8a3bfc3,Pierre Frigon,5df4b52d-9be4-5390-a984-da16e1587631,Pierre Frigon,,,,overrides+data,Pierre Frigon,,,,frigon,,
7466be9e-b5c1-594a-8ee8-1c5c71b75157,Pierre Jacques Daigle,782444dc-7cc7-5fa2-ac11-4d555460e3a2 | 762d3704-130c-58f9-96ff-e68a2eb0773e,Pierre Jacques Daigle | Pierre-Jacques Daigle- Stéphane Tailleur,Pierre-Jacques Daigle- Stéphane Tailleur,,merged from Pierre-Jacques Daigle- Stéphane Tailleur (b6ebc9ff),overrides+data,Pierre Jacques Daigle,,Pierre-Jacques Daigle,,daigle,,
a7f0b169-448f-5621-b4a1-b792e6bb4eff,Pierre Riviera,cd52ab94-859f-520d-980b-ae2f5f6a43e1 | ebdc2999-3ef2-5000-901f-720365ffa639,Pierre Riviera,,,,overrides+data,Pierre Riviera,,Pierre Rivera,,riviera,,
4c920dd1-194c-552b-9f6e-3f7359ea9a33,Pierre-Alexandre Roger,c27cf8aa-3ca7-5e54-9e94-dd69c14ccb77,Pierre-Alexandre ROGER,,,,overrides+data,Pierre-Alexandre Roger,,,,roger,,
4b0cfb19-6a41-56cf-acac-5c3807dbe79d,Pierrot Bardeau,ef7a59e4-d7c2-505e-ac28-d81fe7e1b672 | d4e9befb-09f3-58d6-b7ea-e2c783cdcf18,Pierrot Bardeau | Pierro Bardeau,,,,overrides+data,Pierrot Bardeau,,Pierro Bardeau,,bardeau,,
1dc7bf3f-8a4d-57b0-912b-b6626fb29cfb,Piia Tantarimäki,436e5e91-5a2a-5e55-8e87-7ac5392b6196 | 71c21c3e-3d72-5f72-a8bd-e83f9b636189 | 968181b5-08e2-5ccb-96a1-421bee69d546 | eab020d8-9710-5cae-bde5-00952967799f,Piia Tantarimäki | Piia Tantarimäki Uli Haase,Piia Tantarimäki Uli Haase,,merged from Piia Tantarimäki Uli Haase (d9507c1b),overrides+data,Piia Tantarimäki,,,,tantarimäki,,
