event_key,discipline_key,placement,participant_order,display_name,person_id,notes
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,2,1,Florian Goetze,ab966624-6643-5dea-b165-67e66af402f9,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,2,2,Kerstin Anhuth,8e17712f-7c8d-5c61-93e2-85d061117be2,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,3,1,Luke Legault,b3b2232e-40c2-5a99-bf1f-aa3e4f5b569c,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,3,2,Geneviève Bousquet,fea99a91-ae13-5cb1-b87f-3c352783dc2e,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,4,1,Yves Kreil,b274fbcc-9283-5e2e-9c68-704f3212796e,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,4,2,Julia Tikhomirova,0b73f6bd-2b2a-57ef-8de6-853138d11297,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,5,1,François Pelletier,9d9b7019-1c24-54b4-8dfb-75bc689657e2,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,5,2,Maude Landreville,b69d06e1-49be-5fac-ae61-a9194ef30ee0,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,6,1,Jeremy Mirken,31bd4e75-1a44-56b4-94b3-071cdc8dee82,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,6,2,Julie Symons,adc70b9b-7496-5ded-8feb-fdc8e9c5d21c,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,7,1,Karim Daouk,eb025239-b9ab-5cef-9307-7639f88a225a,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,7,2,Shirine Daouk,8d44c922-861d-520b-8397-437e225e02f1,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,8,1,Oskari Forstén,111079c7-b085-530e-b4da-68e9b975803e,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,8,2,Lisa Mcdaniel,f995558d-69d9-557a-892a-0e695d85250b,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,9,1,Janne Uusitalo,628bd3b2-335d-5fdb-bad2-b794d74ede90,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,9,2,Piia Tantarimäki,1dc7bf3f-8a4d-57b0-912b-b6626fb29cfb,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,10,1,Phil Schaefer,1ef51b9d-a795-592e-8d0c-46184f784bf4,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,10,2,Helena Schlichting,e023aa06-ace7-5617-8145-aaca829f4c54,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,11,1,Manuel Kruse,fd8d3afc-a726-5ac8-841c-be6459e303bf,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,11,2,Heike Koller,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,12,1,Timo Vorne,5d0a7015-9291-561a-aad6-a1ac57d3454d,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,12,2,Ninni Liukko,9aca54b3-8989-5d9e-8ca3-b5420d233d8f,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,13,1,Jyri Ilama,8769fa9e-200a-505d-b008-889add42a38b,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,13,2,Marie-Lou Roy,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,14,1,Roman Belozerov,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,14,2,Evgenia Tsybulskaya,5741a906-7ac9-539d-a075-f7b3a86567dd,
