event_key,discipline_key,placement,score_text,notes,source
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,3,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,4,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,5,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,6,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,7,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,1,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,2,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,3,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,4,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,5,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,6,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,7,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,8,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,9,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,10,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,11,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,12,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,13,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,14,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,15,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,16,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,17,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,18,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,19,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,20,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,21,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,22,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,23,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,24,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,25,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,26,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,27,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,28,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,29,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,30,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,31,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,32,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,33,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,34,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,35,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,36,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,37,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,38,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,39,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,40,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,41,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,42,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,43,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,44,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,45,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,46,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,47,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,48,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,49,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,50,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,51,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,52,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,53,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,54,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,55,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,56,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,57,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,58,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,59,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_net,1,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_net,2,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_net,3,,,
