section,subsection,sort_order,category,division,year,rank,person_or_team,partner,score,note,event_date,event_name,location
World Record Progression,Women's Singles Timed (5-Minute),812,Consecutive Kicks,Women's Singles Timed,1997,,Ida Fogle,,799,,,,
World Record Progression,Women's Singles Timed (5-Minute),813,Consecutive Kicks,Women's Singles Timed,1997,,Ida Fogle,,804,,,,
World Record Progression,Open Doubles Consecutive,901,Consecutive Kicks,Open Doubles,1976,,Terry Pierson,Mike Montgomery,196,,,,
World Record Progression,Open Doubles Consecutive,902,Consecutive Kicks,Open Doubles,1976,,Terry Pierson,John Stalberger,268,,,,
World Record Progression,Open Doubles Consecutive,903,Consecutive Kicks,Open Doubles,1979,,Jack Schoolcraft,Will Winget,786,,,,
World Record Progression,Open Doubles Consecutive,904,Consecutive Kicks,Open Doubles,1980,,Jack Schoolcraft,Will Winget,2069,,,,
World Record Progression,Open Doubles Consecutive,905,Consecutive Kicks,Open Doubles,1982,,Jim Caveney,Gary Lautt,5665,,,,
World Record Progression,Open Doubles Consecutive,906,Consecutive Kicks,Open Doubles,1983,,Jim Caveney,Gary Lautt,20921,,,,
World Record Progression,Open Doubles Consecutive,907,Consecutive Kicks,Open Doubles,1986,,Jim Caveney,Gary Lautt,33333,Intentionally ended on that number,,,
World Record Progression,Open Doubles Consecutive,908,Consecutive Kicks,Open Doubles,1989,,Ted Martin,Andy Linder,64792,,,,
World Record Progression,Open Doubles Consecutive,909,Consecutive Kicks,Open Doubles,1992,,Jim Caveney,Gary Lautt,75000,Intentionally ended on that number,,,
World Record Progression,Open Doubles Consecutive,910,Consecutive Kicks,Open Doubles,1992,,Ted Martin,Andy Linder,83453,,,,
World Record Progression,Open Doubles Consecutive,911,Consecutive Kicks,Open Doubles,1994,,Ted Martin,Andy Linder,100001,Intentionally ended on that number,,,
World Record Progression,Open Doubles Consecutive,912,Consecutive Kicks,Open Doubles,1995,,Gary Lautt,Tricia George,123456,Intentionally ended on that number,,,
World Record Progression,Open Doubles Consecutive,913,Consecutive Kicks,Open Doubles,1998,,Gary Lautt,Tricia George,132011,,,,
World Record Progression,Women's Doubles Consecutive,1001,Consecutive Kicks,Women's Doubles,1984,,Jodi Chandler,Tricia George,2462,,,,
World Record Progression,Women's Doubles Consecutive,1002,Consecutive Kicks,Women's Doubles,1985,,Jodi Chandler,Marie Elsner,8438,,,,
World Record Progression,Women's Doubles Consecutive,1003,Consecutive Kicks,Women's Doubles,1986,,Constance Constable,Marie Elsner,21025,Intentionally ended on that number,,,
World Record Progression,Women's Doubles Consecutive,1004,Consecutive Kicks,Women's Doubles,1995,,Constance Constable,Tricia George,34543,Intentionally ended on that number,,,
World Record Progression,Open Doubles One-Pass,1101,Consecutive Kicks,Open Doubles One-Pass,1984,,Jim Caveney,Gary Lautt,1665,,,,
World Record Progression,Open Doubles One-Pass,1102,Consecutive Kicks,Open Doubles One-Pass,1985,,Jim Caveney,Bruce Guettich,3747,,,,
World Record Progression,Open Doubles One-Pass,1103,Consecutive Kicks,Open Doubles One-Pass,1987,,Bill Langbehn,Brent Welch,10454,,,,
World Record Progression,Open Doubles One-Pass,1104,Consecutive Kicks,Open Doubles One-Pass,1991,,Ted Martin,Andy Linder,13208,,,,
World Record Progression,Open Doubles One-Pass,1105,Consecutive Kicks,Open Doubles One-Pass,1991,,Ted Martin,Andy Linder,22000,,,,
World Record Progression,Open Doubles One-Pass,1106,Consecutive Kicks,Open Doubles One-Pass,1993,,Ted Martin,Andy Linder,27956,,,,
World Record Progression,Women's Doubles One-Pass,1201,Consecutive Kicks,Women's Doubles One-Pass,1985,,Constance Constable,Tricia George,722,,,,
World Record Progression,Women's Doubles One-Pass,1202,Consecutive Kicks,Women's Doubles One-Pass,1987,,Constance Constable,Tricia George,6136,,,,
Milestone Firsts,Singles milestone first,1301,Consecutive Kicks,Open Singles,,,John Stalberger,,1000,,,,
Milestone Firsts,Singles milestone first,1302,Consecutive Kicks,Open Singles,,,Jack Schoolcraft,,2500,,,,
Milestone Firsts,Singles milestone first,1303,Consecutive Kicks,Open Singles,,,Ken Shults,,5000,,,,
Milestone Firsts,Singles milestone first,1304,Consecutive Kicks,Open Singles,,,Ken Shults,,10000,,,,
Milestone Firsts,Singles milestone first,1305,Consecutive Kicks,Open Singles,,,Andy Linder,,20000,,,,
